21,66
20,45
22,02
28,09
29,41
29,74
30,13
29,81
29,44
29,94
32,09
34,8
37,99
37,22
34,72
32,65
30,42
32,51
29,53
23,15
24,02
23,1
20,29
22,81
25,17
40,7
49,91
52,73
43,7
32,32
30,3
29,43
29,29
29,42
28,08
24,1
30,01
28,04
18,08
13,59
10,69
10,01
-1,16
-9,61
-6,62
-2,33
-4,92
-0,08
10,59
27,72
38,92
42,13
39,27
40,68
37,99
37,56
36,92
36,06
34,61
36,94
43,21
45,43
43,45
39,9
30,72
30,1
24,62
22,08
14,82
13,49
12,35
10,77
21,09
31,94
40
44,95
42,49
39,88
38,99
34,75
32,54
32,31
33,11
38,04
38,9
38,44
34,26
31,2
22,36
19,24
8,91
12,66
9,29
9,73
9,33
9,73
